Words,#
キンの気配,1
眠くて,1
去った,1
起き出す,1
キレて,1
テントの中,1
バリケード,1
スペース,1
翌日,1
壊した,1
気する,1
らのテント,1
入りゃ,1
水遊び,1
ジュネス・オリジナルブランド,1
初夏の新作,1
新作,1
知り合いの店員,1
持っててたの…,1
泳ごうぜ,1
晩メシ,1
にしてたのに,1
着替え,1
食わされた,1
報われた,1
俺の見立て,1
見立て,1
感じのオ,1
なるぜ,1
氷水のよう,1
つめてえ,1
黙,1
りっぱ,1
昨日のダメージ,1
ダメージ,1
危なかった,1
ぷはー,1
川上,1
男のえずく,1
えずく,1
響いて,1
吐いている,1
失った,1
垂らしている,1
危ねえのは,1
ふぇ,1
くし,1
当,1
関します,1
よりのコメント,1
おりますのでで,1
手短,1
ビュウの石岡,1
石岡,1
壊してる,1
心の方,1
親族の家,1
との噂,1
殺人の！え,1
老舗の豆腐,1
終わります,1
なのもー,1
我慢するのもー,1
キライ,1
シンド,1
スギ,1
カロリー,1
脂肪,1
食品の“,1
ケロリーマジック,1
ケロリ,1
スリム,1
無いのが,1
取り柄,1
エラく,1
お前の顔,1
りせ・電撃,1
電撃,1
ブレイク,1
いきゃ,1
出身,1
祖母,1
さんの豆腐,1
キュー,1
仕入れてたの。,1
街のあそこ,1
会えんのか,1
昨日今日,1
町の“,1
時の人,1
犯人の狙い,1
絞り込める,1
犯人のターゲット,1
りせの動向,1
動向,1
上がってんてん,1
今のどう,1
ポスターのじゃん,1
失踪する,1
太もも,1
屋の“,1
川の“,1
人だかり,1
ぽい,1
見んのよ,1
付き合います,1
先約,1
らの野次馬,1
らのは,1
ヤジ馬,1
街の真ん中,1
止まろう,1
ワケあり,1
居たの？,1
私服のデカ,1
出張ってんてんのか,1
小さいし,1
高１,1
現職の刑事,1
ビビ,1
らすと,1
ただ事,1
踏んでんでんのか,1
空けて,1
かるせ,1
通りかかった,1
顔ぶれで,1
普通の豆腐,1
アイドルの実家,1
先輩の叔父貴,1
叔父貴,1
今の空気,1
引っ張られてる,1
ガセネタ,1
踏ま,1
ガセネタえ,1
今のダセー,1
ダセー,1
ハケたし,1
自腹,1
知ってんてん,1
がんもどきの説明,1
ものお,1
訊きゃ,1
あっちのは,1
呼び捨て,1
にするの？,1
冷や,1
煮炊きする,1
しだいえ,1
頼め,1
がんも,1
決めてた,1
見んのと,1
疲れてんのか,1
本物の“,1
本日のミッション,1
ミッション,1
達せ,1
私のファン,1
しれっと,1
バラす,1
だか,1
完二てめ,1
ブッソー,1
調べてる,1
夜のやつ,1
言ってんてんの俺,1
映ってるてるの？,1
やぶ,1
ぼう,1
降っててた,1
６００,1
引き受けるぜ,1
丁,1
夕ご飯,1
頂きます,1
連続してるの、,1
身の回り,1
怪しいのだらけ,1
高校の予定,1
脅かす,1
連れで,1
人のうち,1
ヤンキー,1
風の？,1
ちの彼,1
友達の？,1
ところの失踪,1
警告したのも,1
ちまえ,1
俺の刑事,1
としての勘,1
ための口実,1
目のガイシャ,1
ガイシャの小西,1
者の捜査,1
捜査の方,1
続けろ,1
とうふ,1
会ったの！,1
けんか,1
ィする,1
水着の女性,1
強調,1
映ったし,1
者の線,1
チラっ,1
覗い,1
例のバラエティ,1
生み出してるのか,1
くるの“,1
人の本音,1
予告してる,1
訊け,1
者の心,1
狙ってるてる,1
犯人の“,1
襲う,1
人の頭,1
入り混じってて,1
言,1
寝てた,1
くんの説明,1
入れるのか,1
死ぬのは,1
やってんてんのだけ,1
恨みつらみ,1
掃いて,1
恨ま,1
共通する,1
喋ら,1
せれ,1
てんのは,1
オムツ,1
売ってて,1
揃ってるてる,1
聞き込みの最中,1
見張る,1
さんの指示,1
ちゃんの様子,1
現職のデカ,1
立ち止まん,1
往復,1
犯人め,1
んなの聞く,1
轢かれて,1
被疑,1
けがし,1
警察の責任,1
問われて,1
飛び込ん,1
どーする,1
回り込んでで,1
手っ取り,1
早え,1
合図する,1
回り込む,1
当てりゃ,1
ぎゃっ,1
善良,1
市民,1
マネしてる,1
タンマ,1
とぼけた,1
かぁし,1
盗撮,1
お前の容疑,1
大金,1
感謝します,1
関わるの、,1
危ないし,1
心配してたし,1
あとの事,1
いよ,1
一声,1
用事の人,1
よぉえ,1
くたびれてる,1
出掛けた,1
なんの話,1
コイツの取調べ,1
取調べ,1
捜せて,1
予感する,1
唸っててて,1
しゃあ,1
りせです,1
進級して,1
花の“,1
重ねる,1
スゴく,1
うんえ,1
防げ,1
昼間の刑事,1
記念して,1
挑戦し,1
スゥ・トォ・リィッ・プゥー,1
きゃあ,1
恥ずかしーて,1
じゃうのって,1
まる,1
きゃはっ,1
見捨て,1
寂しかったの？,1
タイ,1
ヒクツしてた,1
そっちの世界,1
世界の楽し,1
お前の現実,1
ひっそり,1
増量,1
切なくて,1
はり裂けて,1
綿毛,1
飛び出し,1
ナンして,1
ナンのネタ,1
封印し,1
クジカワリセ,1
お前の鼻,1
鈍ってて,1
りせの情報,1
自分の役割,1
つきもののアレ,1
ストリップて,1
読めた,1
眩しい,1
メガネしてて,1
こいつえ,1
りせの居,1
一人の…,1
りせの全て,1
焚き,1
カナ,1
証明し,1
キツいぜ,1
ざわざわ,1
ホントの私,1
がめ,1
思念,1
急ぐぜ,1
キャーハハハハハ,1
られてるぅ,1
られてるのね,1
ぷんぷん,1
こぉんな,1
おっかし,1
キャハハハ,1
ノージンのりせ,1
見るのよ,1
ベッタベタ,1
キャラ作りして,1
ヘド,1
飲み込んでで,1
誰それ,1
丸裸のあたし,1
焼きつけ,1
なァ,1
オーホホホホッ,1
攻撃,1
読まれてる,1
反撃,1
かわせる,1
たちし,1
じゃうの…,1
クマし,1
逃げろ,1
見捨てて,1
クマた,1
ゆわれて,1
なるの…,1
チィ,1
永遠,1
わしゃ,1
トンデモ,1
しでかし,1
クマの生き様,1
生き様,1
エネルギー,1
命の恩人,1
りせのせい,1
もらったの…,1
ツラかった,1
私の一部,1
下がってて,1
子の中,1
一人のクマ,1
くんの、,1
干渉,1
隠されている,1
伸ばし,1
決して,1
何の意味,1
事ぜ,1
賢く,1
考えてるの！,1
言ってているのさ,1
気付いてる,1
別の自分,1
失われた,1
忘れている,1
ウソクマ,1
お前の正体,1
ただの…,1
だけの深い,1
そうして,1
苦難,1
晒す,1
苦しむ,1
知ろう,1
こんなのと,1
構えて,1
倒れてる,1
子の代わり,1
クマの自慢,1
抑えこんででた,1
さんの一面,1
ひょっとし,1
探ってて,1
果報,1
およよ,1
支え合う,1
への想い,1
クマの…,1
すんごい,1
疲れてたのに,1
掛けしてるし,1
生え変わる,1
トレーニング,1
ハゲ,1
しく,1
励む,1
そっとし,1
ハイブロー,1
華麗,1
復活する,1
までし,1
ばし,1
がんばれよ,1
だけの役目,1
燃える,1
はりせの回復,1
深まってている,1
事件の新た,1
段,1
大工,1
ツッコんでで,1
ランドセル,1
時分,1
ショーバイ,1
送り込まれて,1
からの連続,1
くらいの子供,1
切れる,1
ただのガキ,1
ガキの遊び,1
付き合わさ,1
報酬,1
のぞき,1
合点,1
チョロチョロし,1
叱られて,1
ふとんし,1
さけ,1
かたた,1
街のはずれ,1
はずれでし,1
アパートの屋上,1
屋上の手摺り,1
手摺り,1
殺されたの…,1
担任の…,1
れんのは,1
普通のニュース,1
気してた,1
ただの偶然,1
振り出し,1
諦めるのは,1
たりめ,1
腰砕け,1
ゴト,1
なりのやり,1
完二のクセ,1
らの相手,1
引き下がれ,1
下向いてて,1
かのキャンペーン,1
クる,1
ムックリ,1
戻るのも,1
誰の気配,1
っちゅー,1
だけでした,1
詰まっててた,1
落ち目,1
今日のセンセイ,1
なぁて,1
じゃて,1
からのフォー,1
フォー,1
バックアップして,1
バリバリ,1
までのよう,1
ただのプリチー,1
頂こう,1
よしの“,1
クマ・スペック,1
スペック,1
参上,1
開けるのだー,1
前線,1
引いてる,1
のびのび,1
別扱い,1
しくじら,1
殺り,1
防ぎ,1
取ろ,1
フサフサ,1
ナンせ,1
復活,1
中身のある,1
ってーの！,1
動いてる,1
遣え,1
ままの姿,1
ニンゲン,1
生えて,1
出歩かれ,1
クマのまんま,1
ランバーの季節,1
きちの服,1
だろのぁ,1
ザッツ,1
イカガデスカ,1
見違えた,1
ブリリアント,1
一体て,1
ふさふさの、,1
モノのフロア,1
コーフンして,1
叫ぶし,1
以後,1
本能のまま,1
はっちゃけ,1
ヘコま,1
嫌われたのか,1
殺されてぇ,1
ふッ,1
争わ,1
ベイビーるせ,1
ッてめ,1
売ってんてんのか,1
分けろ,1
ワーオ,1
リッチ,1
リニューアルした,1
きちの、,1
どーしたの花村,1
くんの服さ,1
服さ,1
持ち合わせで,1
花村のツケ,1
ネスのくせ,1
高いし,1
ツケたの？,1
どどーして,1
貯金し,1
てんの知っ,1
ベイベ,1
ってろ,1
お前のせい,1
着ろ,1
イタズラして,1
破い,1
お前の脱い,1
皮,1
仕立てる,1
しょげ,1
店員の方,1
売ん,1
金四郎,1
さんの通う,1
学校の人間,1
専ら,1
注目して,1
見透かされてる,1
気づいてたし,1
またして,1
失っててた,1
ホン,1
実感した,1
最近の私,1
疲れてて,1
暗かった,1
今の感じ,1
感じの方,1
知り合ったのが,1
時のため,1
ためのメガネ,1
預かってている,1
渡そう,1
仲間の証,1
メガネの効果,1
通うの。,1
前のも,1
勝った,1
ハチ,1
ヘッドライン,1
終息,1
高校の教師,1
酷似して,1
キンの写真,1
どーしたの？,1
ちゃんの、,1
じゃったの？,1
学校の関係,1
知られ,1
度々,1
との摩擦,1
摩擦,1
への大きな,1
規模,1
中継,1
かえん,1
右手の指,1
左手,1
左手の指,1
うごいた,1
謎の解決,1
おられます,1
自分の歩幅,1
歩幅,1
歩ま,1
移ろい,1
呼び立てし,1
ましたのは,1
ペルソナの“,1
致しますのは,1
上位の合体,1
以上のペルソナ,1
ついてで,1
種類の合体,1
佳境,1
だにせ,1
待ち構えて,1
久しい,1
キンの話,1
やっててたし,1
たちの担任,1
亡くなられたのでで,1
黙祷,1
ささげ,1
来週の定期,1
ちゃぁんと,1
仕切ら,1
なってく,1
うぜ,1
濃い味のコンボ,1
例のアイドル,1
クジカワ,1
とぜ,1
がっかりし,1
ただのシリ,1
シリの青い,1
対抗,1
せちの勝ち,1
クラスメイトの噂話,1
せちの入学,1
喜ん,1
りせの写真,1
買ってんてんの、,1
ムッツリ,1
けっ,1
せちのストリップ,1
番組の話,1
んなの出,1
電波,1
寝ぼけてた,1
赤の課目,1
課目,1
平均,1
フォロー,1
今回のモロ,1
見つかったの、,1
現場の様子,1
犯人の動機,1
狙われた,1
数え,1
面識,1
恨んでで,1
キンの場合,1
普通のテレビ,1
ウチの高校,1
ウチの人間,1
光らして,1
白状する,1
心のどこ,1
キンのヤツ,1
キンのため,1
ウチの学校,1
有力,1
ついての調査,1
県警,1
本部の要請,1
要請,1
来ている,1
員の探偵,1
なのッ,1
生の“,1
伏せられて,1
さんの学校,1
学校の生徒,1
今回の容疑,1
確信,1
までの事件,1
問題の少年,1
との関連,1
周囲の証言,1
はっきりしている,1
ひなびた,1
伏せられてる,1
思ったのでで,1
解いてる,1
分かってるてるの？,1
そっちの方,1
ヨヨヨースケ,1
物分かり,1
固まったのに,1
ぶらぶらして,1
わかっ,1
お払い箱,1
持たれ,1
謎の多い,1
あっけない,1
幕切れでした,1
挙がっ,1
解散する,1
ちょー,1
あくびし,1
英語の問,1
熟語,1
書き換えのやつ,1
ｕｓｅｄ,1
ｔｏ,1
満喫,1
こんにちわ,1
負け組,1
通訳,1
アピールした,1
大人の言い,1
ごまかした,1
何の余裕,1
ドンマイ,1
テストの話,1
事件の方,1
気負っててた,1
上がったのは,1
捕まるの、,1
差別,1
ってるよ,1
てるよ,1
たちの出る,1
銀鏡,1
使われ,1
溶液,1
ホルマリン,1
化学,1
ギ酸,1
アスコルビン,1
ホルムアルデヒド,1
酢酸,1
冷たく,1
異性の先輩,1
それの連絡,1
すんの忘れ,1
着せた,1
逆転の発想,1
帰んのイヤ,1
からかってて,1
くッ,1
ふかふか,1
知られてて,1
りせの事,1
クーマー,1
連続している,1
ぶら下がった,1
までの流れ,1
ハンニン,1
つかまら,1
不安のよう,1
今の誰,1
ゾンビ,1
CE,1
0008,1
ヨースーケー,1
0009,1
代わる,1
子の抑圧,1
共鳴して,1
サツエイしてる,1
代われ,1
ボンヤリしたのが,1
掛かった,1
話してたの！,1
胸きゅんした,1
昨日のだ,1
根暗,1
感染り,1
ボソボソ,1
挑発し,1
一等,1
ムカつくぜ,1
よぎったの。,1
ただの勘,1
生の少年,1
生のＡ,1
かの拍子,1
かの動機,1
放り込み,1
別の世界,1
足のつか,1
最高の手口,1
仕方ないのでで,1
逃げ場,1
逃げ込む,1
狙った,1
つくのを,1
実行した,1
わけでしょ,1
自殺し,1
暗かったし,1
来てるのを,1
人のりせ,1
ナイス,1
少な,1
捜してる,1
確かめよう,1
追われてる,1
ってのと,1
みんなの心,1
少年の情報,1
入手した,1
美津雄の写真,1
いるのは,1
偵察してた,1
狙われてた,1
なめ,1
時の！,1
月の、,1
っきりの事,1
雪子の周り,1
腹いせで,1
狙っ,1
系のアレ,1
通じる,1
あしらい,1
慣れてた,1
無視してたの。,1
さらわれたのか,1
特番のトバッチリ,1
トバッチリ,1
アナの不倫,1
不倫の事,1
ムッ,1
跡の刑,1
エンディング,1
美津雄の居,1
本人の元,1
辿りつく,1
やり遂げよう,1
食いしばれ,1
ニセモノ,1
消え失せろ,1
手間,1
オレの…,1
追ってるてる,1
殺しの犯人,1
前の２,1
すべての、,1
じけん,1
諸岡の野郎,1
化け物め,1
ざま,1
消耗してる,1
ねーの…,1
キモイぜ,1
キモイ,1
下がってろ,1
混乱する,1
しつけえ,1
事したの？,1
ハハハハハハハッ,1
町の騒ぎ,1
狙ったのは,1
さらったの？,1
恨んででた,1
すげ,1
なってんてんの…,1
むかつく,1
選んででたのか,1
ッてめえ,1
思い上がん,1
ねえてめえ,1
償ってて,1
落とし前,1
てめえのしした,1
ちくし,1
警察え,1
ボサ,1
時の１１０,1
１１０,1
町のジュ,1
らの役目,1
粘着,1
なの…え,1
サウナの事,1
みんなの見,1
見たの。,1
花村のって,1
時効,1
呼ぶの、,1
ドラマの撮影,1
楽しいし,1
パーっ,1
チャンのお,1
宴会,1
座敷,1
ゲイシャ,1
フジ,1
ヤマ,1
ウハウハ,1
からた,1
何の打ち上げ,1
訊かれ,1
あげようぜ,1
空かせて,1
作るのは,1
言ってている,1
時の記憶,1
負わせ,1
モッキュモキュ,1
～の巻,1
イベントの絵,1
一筋の希望,1
しゅうご,1
ざました,1
来たぜ,1
食料,1
遠慮してる,1
無難,1
別々の売り場,1
定番,1
和洋の出会い,1
ショウユ,1
ハーブ,1
プロヴァンス,1
気高い,1
芳香,1
地中,1
ひと通りの材料,1
スペッシャル,1
極めつけ,1
アーンして,1
表せ,1
ひどかった,1
られんのも,1
今の内,1
仕留める,1
いいのよぉ,1
こっちの商品,1
焼いて,1
ウチアゲする,1
実感する,1
ホンモノのりせ,1
やくそくし,1
なセ,1
クマの方,1
チャンの方,1
すこし,1
代官,1
放棄,1
でー,1
召し上がれ,1
どぉー,1
手作りの料理,1
美味しくて,1
独り占め,1
宣言,1
溶岩のよう,1
鉄のよう,1
口の中,1
鈍痛,1
私のね,1
防備,1
おいしいの！,1
素材の味,1
おいしく,1
おふ,1
かじった,1
かせ,1
あたしのでで,1
つっと,1
前のカレー,1
格段の進歩,1
慰め,1
ちゃんの食べ,1
あたしのが,1
ぼっせ,1
里中のも,1
ウマく,1
大人の味,1
からい,1
嘘泣き,1
キタ,1
ちゃんの！,1
たべた,1
成功のよう,1
大喜び,1
なかなかの出来,1
台所,1
マズいのが,1
街のさ,1
さんせい,1
まつり,1
出店,1
ありつけ,1
街のお,1
見守ろう,1
私のは,1
うるませている,1
スーゴ,1
だけの大トロ,1
大トロ,1
供述して,1
反省の色,1
少年の供述,1
多くの点,1
支離,1
滅裂,1
との指摘,1
指摘,1
事件の全容,1
全容,1
迫られ,1
こぎつけるの大変,1
者の服,1
者の指紋,1
ふざけた,1
生のくせ,1
乾い,1
わさび,1
サビ抜き,1
頼むの忘れ,1
ワサビ,1
ひらめ,1
賑わっててた,1
少,1
れりゃ,1
引き上げた,1
かき回して,1
逃げ足,1
速,1
ぇぜ,1
空いてて,1
イカ焼き,1
おっせ,1
待ってりゃ,1
みんなのお,1
着付け,1
手間取っ,1
巻い,1
少しの辛抱,1
ゾッコンラブ,1
たちの浴衣,1
和装,1
そっぽ,1
かわいー,1
わたあめ,1
射的,1
うんする,1
引き受けよう,1
賑わう,1
夏の祭り,1
ふーむ,1
夏祭りの夜,1
寄り添ってて,1
着崩れて,1
何のコピー,1
ダンゴ,1
ぞろぞろ,1
思うのね,1
歩くのが,1
自然の摂理,1
摂理,1
つくる,1
ためでしょ,1
組分け,1
今の“,1
組み合わせ,1
３え,1
抜けて,1
ナチュラル,1
もれてる,1
参加した,1
みせ,1
外れろ,1
きたのぁ,1
決めたゼ,1
進めん,1
クマのお,1
ねーて,1
チャチャ,1
盛り場,1
チャラチャラしてる,1
棚上げして,1
貫ける,1
試されてる,1
抜けるぜ,1
男の数,1
数のが,1
そんなのツライ,1
ツライし,1
権,1
譲ったのに,1
子のブロマイド,1
ブロマイド,1
選んでんでんの！,1
私のあっ,1
あたしのネギマ,1
ネギマ,1
なのそれ,1
への協力,1
方の事情,1
留まる,1
ここの１,1
カッタリー,1
スカスカ,1
解決したのは,1
事件の協力,1
協力のため,1
ただの人,1
こんちわ,1
来たの、,1
誘おうぜ,1
レア,1
地元のウチ,1
遊び場,1
やってんてん,1
寄ってか,1
てか,1
言ったのでで,1
斗のあの,1
デビュー,1
しくじってるてる,1
ぶなのか,1
スッキリして,1
別の話し,1
面してる,1
人工,1
島,1
都会え,1
ロケで,1
ムーンライト,1
ブリッジの先,1
今回の旅行,1
中心の修学,1
見直す,1
かの触れ合い,1
触れ合い,1
向こうの私立,1
私立の高校,1
会す,1
メインでで,1
私立の学校,1
校舎,1
返上,1
目の自由,1
ガッコの仕切る,1
減っててて,1
予算,1
退屈し,1
ポジティブ,1
メンドクセー,1
不評,1
立案,1
バーイ,1
死して,1
縛るのか,1
今の旅行,1
旅行の話,1
なんてのぁ,1
ヒマの潰し,1
だけの生き物,1
旅行の仕度,1
ハシャギ,1
こっちの事件,1
騒がれて,1
卒,1
アル,1
載っけた,1
ウザいぜ,1
切り貼りして,1
生まれつきの犯罪,1
仕立て,1
外ヅラ,1
世間の噂,1
噂の方,1
日直,1
おかしいのは,1
学園の設立,1
設立,1
諸君,1
つの諺,1
諺,1
文筆,1
頻々,1
然る,1
君子,1
ふぁー,1
一部の生徒,1
案内し,1
務めます,1
Ｄ,1
伏見,1
千尋,1
ぇた,1
カワイ,1
空前のメガネ,1
反応し,1
他校の方,1
招いての本格,1
初めての試み,1
試み,1
一人一人の糧,1
糧,1
努め,1
負けてる,1
さんの今日,1
今日の予定,1
配ってて,1
頂いたのに,1
段取り,1
取り繕ってるてるの。,1
あがり,1
さっきのスピーチ,1
入学した,1
ときの、,1
憧れの人,1
直さ,1
さんの班,1
そちらの生徒,1
会の方々,1
打合せ,1
つわれた,1
江戸川,1
カバ,1
あさっての昼,1
辛うじて,1
修学し,1
名乗る,1
先生の特別,1
タロット,1
ついての講義,1
講義,1
長々,1
シーサイド・シティ,1
はまぐり,1
普通のホテル,1
動揺,1
見つけたのよぉ,1
手頃,1
なかなかのチョイス,1
泊まんのか,1
開業,1
潰れた,1
立ち止まら,1
ん・ど,1
いうの無い,1
白河,1
ノッフッフッフッ,1
なかのホテル,1
殺気,1
とうっ,1
クマの中,1
中の寂し,1
暴れたのさ,1
くーっ,1
貯金したの。,1
ヨースケの“,1
旅のしおり,1
あったの、,1
言ったの、,1
執拗,1
くれてたのね,1
案内する,1
にょ,1
ほほ,1
明かせ,1
冷え,1
だろし,1
オール,1
部屋割り,1
モメてる,1
型のカバン,1
カバンです,1
ビッグ,1
全室,1
ウォーター,1
枕元の電気,1
点ける,1
決め込んででいる,1
なりの真面目,1
もれる,1
ポロニアンモール,1
クラブ・エスカペイド,1
エスカペイド,1
客層,1
ハライタ,1
貸し切り,1
乾杯,1
おととし,1
シークレット,1
ライブした,1
落ちて,1
時の借り,1
エンリョし,1
ちゅめ,1
イイカンジ,1
ブフ,1
スロットル,1
ユルく,1
なってんてん,1
ソフト,1
ノンアルコール,1
ゲエーーーーム,1
ゲームするの。,1
決まってるてるの…,1
ロリ,1
打ち入り,1
からの方,1
カミング,1
アウト,1
始まってんてん,1
カァーンジッ,1
ワリバシ,1
様の言う,1
駆け足,1
始まってんてんの！,1
あのぉ,1
他のクジ,1
ヒミツ,1
さーっ,1
やーい,1
手前のクジ,1
奥のクジ,1
クマの、,1
王の名,1
命ずる,1
すみやか,1
ムチュ,1
チッスチッス,1
クマの体,1
クマの純情,1
イテッ,1
テンメ,1
捧げて,1
うぶ,1
脱落,1
気の抜け,1
スの次,1
きよめよ,1
全員の視線,1
集まってている,1
番の人,1
しゃえ,1
様の膝,1
先輩のヒザ,1
ヒザ,1
あったかくて,1
なってているえ,1
様の命令,1
ぜっ,1
縮こまってている,1
アマギ,1
抱きついて,1
ぁぜ,1
共有した,1
女王,1
ひけ,1
ハズカシイ,1
エピソード,1
無視して,1
生まれの話,1
急速,1
冷凍,1
鐘の家,1
探偵の家系,1
家系,1
時の警察,1
金田一,1
捜査の無かっ,1
基づいて,1
助言,1
人材,1
太い,1
パイプ,1
僕の面倒,1
くれてます,1
最近の捜査,1
医学・科学,1
通じて,1
さんの番,1
関わってているのか,1
オモシロイ,1
うようよしてる,1
からかっててます,1
酔っ払い,1
酔っ払ってるてる,1
飲酒,1
への抗議,1
抗議,1
扱ってて,1
みんなして,1
じゃら,1
どっちれ,1
くらってて,1
おいおい,1
頭痛して,1
ダイ,1
ジョブ,1
ひょう,1
ろのじょ,1
旅行の最後,1
最後の夜,1
んーっ,1
ここのラーメン,1
ドラマの時,1
パスして,1
来たし,1
化物,1
太る,1
食べれる,1
変わっててて,1
メン,1
固めで,1
私のサイン,1
飾ってるてる,1
コイツの方,1
帰らす,1
蒸れて,1
私のどんぶり,1
どんぶり,1
ちゃったの、,1
残してた,1
代わりして,1
伝票,1
見せろ,1
１，２,1
チャンの残り,1
集合の時間,1
Ｔ,1
シャツ,1
逆撫でん,1
冬眠,1
おもたい,1
置き去ろう,1
動けん,1
けれ,1
帰りの切符,1
無いの！,1
さらば,1
青春の思い出,1
帰りの集合,1
旅行の全,1
日程,1
おもしろかった,1
うみ,1
みせや,1
いるの！,1
デスティニー,1
シー,1
ジェット,1
コースター,1
ざぶーんてて,1
遣われた,1
たべる,1
タッチの差,1
話すのか,1
大人びてる,1
お前の１,1
言い張ってて,1
上の連中,1
ケム,1
たがられてる,1
怒らし,1
片し,1
アイの時間,1
市の“,1
磔・連続,1
解決の陰,1
探偵の活躍,1
存知,1
さらい,1
君の特集,1
出演している,1
せいふく,1
先日の犯人,1
検挙,1
かねて,1
程のもの,1
先日の諸岡,1
犯人の仕業,1
事件の全体,1
もの犠牲,1
追求,1
会見の内容,1
題し,1
自身のこと,1
１６,1
団らんの時間,1
ってのだろ,1
捕まえたの俺,1
協力してた,1
長話し,1
すんぜ,1
あれて,1
での僕,1
殺害の前,1
民,1
確率,1
者の“,1
得てる,1
単刀,1
直入,1
さんの何,1
当てはまる,1
認めます,1
目の間,1
さっきの条件,1
踏まえて,1
かの訳,1
免れた,1
逸らす,1
見せかけた,1
さんの誰,1
疑った,1
らの誰,1
まとめ直す,1
追い詰める,1
増えている,1
全ての辻褄,1
辻褄,1
までの遺体,1
鈍器,1
後頭,1
強打,1
直接の死因,1
収束するのに,1
絡んででたのか,1
他の連中,1
昨日の“,1
映ったの…,1
ボケて,1
ビビり,1
振り回された,1
斗の言っ,1
ボンヤリしてたのか,1
との事,1
まーだ,1
引きずっててた,1
ちがっ,1
んなの！,1
まぁまぁ,1
からのやろ,1
あんでで,1
ゆの流せ,1
あったの！,1
町の雰囲気,1
他人の話,1
旬,1
熱して,1
流行りすたり,1
世紀の大,1
実験・ゲノム,1
ゲノム,1
プロジェクト,1
受けるのは,1
禁じ,1
秘法,1
放られて,1
動転している,1
だの手柄,1
だのっつっ,1
拉致られてりゃ,1
イライラ,1
僕の新た,1
旅立ち,1
誕生の瞬間,1
境,1
別の人生,1
歩み,1
特番の取材,1
オトリ,1
んなの分かっ,1
クソッでで,1
殺したの、,1
久保の犯行,1
犯人て,1
他人の罪,1
カブったの？,1
自白してる,1
ヤツの事,1
ぐずぐずし,1
くたばっ,1
もみもみし,1
子の事,1
今のまま,1
あいつの事,1
彼の居,1
つかめ,1
探さ,1
みせる,1
斗の情報,1
ＳＦ,1
チックて,1
特撮の秘密,1
憧れた,1
滝,1
火の中,1
男のロマン,1
ロマンの基礎,1
気持,1
トキメク,1
こもる,1
燃え,1
ちの裏山,1
裏山,1
仙人,1
必殺,1
伝授,1
アチョ,1
特撮,1
斗の心,1
斗の居,1
待ちくたびれ,1
子の相手,1
をするのに,1
ほとほと,1
参ってて,1
なぁんでで,1
どぉして,1
ひとりぼっち,1
なのっ,1
たげ,1
ごまかして,1
子供の仕草,1
お前の真実,1
求めてるのは,1
世の中の二枚舌,1
二枚舌,1
なす,1
独りぼっちの、,1
ただの子供,1
自分の存在,1
フッ,1
小説の探偵,1
診察,1
移ろう,1
ト,1
口走った,1
こねて,1
自分の口,1
こねた,1
吐き出しゃ,1
粗暴,1
亡くした,1
引き取られ,1
作るのが,1
ヘタ,1
祖父の書斎,1
書斎,1
過ごしてた,1
将来の夢,1
ハード,1
ボイルド,1
大人の探偵,1
たちの仕事,1
拒む,1
受け継い,1
僕の夢,1
持ち込ま,1
付いてて,1
障ってて,1
でいるの…,1
男の子の格好,1
僕の望む,1
いうのと,1
軽視,1
んなのは,1
閉じ込めて,1
でるのは,1
ありのままの君,1
１人の自分,1
証明した,1
チャカ,1
すな,1
へいき,1
つかまってて,1
じゃまして,1
早上がり,1
座ん,1
騒がせ,1
驚か,1
染み付い,1
気難し,1
拗ねて,1
４の誘拐,1
破算,1
いけんのか,1
カンの通り,1
遍,1
喋ん,1
悪くし,1
さんの心配,1
マズイの分かる,1
巻き込まれ,1
おきる,1
みえて,1
イチの頭脳,1
頭脳,1
イトマ,1
制服え,1
やべえ,1
イケて,1
潜む,1
行われている,1
鳴った,1
塞がれた,1
袋のよう,1
被せ,1
担い,1
運ばれ,1
薬物,1
失わ,1
だのでで,1
近かったし,1
メイ,1
タンテー,1
無かったのでで,1
単独,1
捕らわれて,1
ものの数,1
からの記憶,1
あやふや,1
さんの証言,1
証言の理由,1
だけの異常,1
心身の消耗,1
消耗,1
きたして,1
さんの失踪,1
必要の無い,1
本筋,1
確定し,1
真似た,1
知ったのか,1
ひっかかっててたの！,1
なかったの？,1
出入り,1
よら,1
遺体の様子,1
ギリギリ,1
リスク,1
冒して,1
運び出してる,1
不明の状況,1
ですて,1
やったのを,1
ひっくり返すのって,1
最大の理由,1
訴えた,1
逮捕して,1
覆さ,1
今の警察,1
内部,1
今回の逮捕,1
信用し,1
取り押さえろ,1
抵抗,1
ちまうぜて,1
次の動き,1
揺さぶり,1
現役の探偵,1
キャラの筆頭,1
筆頭のボク,1
読んででたのよ,1
ナオトメガネ,1
君の事,1
相手の動き,1
診せて,1
獣医,1
用のです,1
手配し,1
もらうのも,1
蓄積,1
でしょうし,1
サラっ,1
斗の提案,1
フツーの健康,1
回され,1
レントゲン,1
ボヤけて,1
目の様子,1
触診,1
別の病院,1
奥の奥,1
みたぜ,1
別の人格,1
ワード,1
心理,1
用語のよう,1
らの知っ,1
非,1
文書,1
下の力,1
ブッ倒した,1
イカした,1
データ,1
持ってんてんの。,1
かしい,1
今のご,1
時世,1
開示,1
